time,decision
2789,No interaction
2790,No interaction
2791,No interaction
2792,No interaction
2793,No interaction
2794,No interaction
2795,No interaction
2796,No interaction
2797,No interaction
2798,No interaction
2799,No interaction
2800,No interaction
2801,No interaction
2802,No interaction
2803,No interaction
2804,No interaction
2805,No interaction
2806,No interaction
2807,No interaction
2808,No interaction
2809,No interaction
2810,No interaction
2811,No interaction
2812,No interaction
2813,No interaction
2814,No interaction
2815,No interaction
2816,No interaction
2817,No interaction
2818,No interaction
2819,No interaction
2820,No interaction
2821,No interaction
2822,No interaction
2823,No interaction
2824,No interaction
2825,No interaction
2826,No interaction
2827,No interaction
2828,No interaction
2829,No interaction
2830,No interaction
2831,No interaction
2832,No interaction
2833,No interaction
2834,No interaction
2835,No interaction
2836,No interaction
2837,No interaction
2838,No interaction
2839,No interaction
2840,No interaction
2841,No interaction
2842,No interaction
2843,No interaction
2844,No interaction
2845,No interaction
2846,No interaction
2847,No interaction
2848,No interaction
2849,No interaction
2850,No interaction
2851,No interaction
2852,No interaction
2853,No interaction
2854,No interaction
2855,No interaction
2856,No interaction
2857,No interaction
2858,No interaction
2859,No interaction
2860,No interaction
2861,No interaction
2862,No interaction
2863,No interaction
2864,No interaction
2865,No interaction
2866,No interaction
2867,No interaction
2868,No interaction
2869,No interaction
2870,No interaction
2871,No interaction
2872,No interaction
2873,No interaction
2874,No interaction
2875,No interaction
2876,No interaction
2877,No interaction
2878,No interaction
2879,No interaction
2880,No interaction
2881,No interaction
2882,No interaction
2883,No interaction
2884,No interaction
2885,No interaction
2886,No interaction
2887,No interaction
2889,Cooperation
2890,Cooperation
2891,Cooperation
2892,Cooperation
2893,Cooperation
2894,Cooperation
2895,Cooperation
2896,Cooperation
2897,Cooperation
2898,Cooperation
2899,Cooperation
2900,Cooperation
2901,Cooperation
2902,Cooperation
2903,Cooperation
2904,Cooperation
2905,Cooperation
2906,Cooperation
2907,Cooperation
2908,Cooperation
2909,Cooperation
2910,Cooperation
2911,Cooperation
2912,Cooperation
2913,Cooperation
2914,Cooperation
2915,Cooperation
2916,Cooperation
2917,Cooperation
2918,Cooperation
2919,Cooperation
2920,Cooperation
2921,Cooperation
2922,Cooperation
2923,Cooperation
2924,Cooperation
2925,Cooperation
2926,Cooperation
2927,Cooperation
2928,Cooperation
2929,Cooperation
2930,Cooperation
2931,Cooperation
2932,Cooperation
2933,Cooperation
2934,Cooperation
2935,Cooperation
2936,Cooperation
2937,Cooperation
2938,Cooperation
2939,Cooperation
2940,Cooperation
2941,Cooperation
2942,Cooperation
2943,Cooperation
2944,Cooperation
2945,Cooperation
2946,Cooperation
2947,Cooperation
2948,Cooperation
2949,Cooperation
2950,Cooperation
2951,Cooperation
2952,Cooperation
2953,Cooperation
2954,Cooperation
2955,Cooperation
2956,Cooperation
2957,Cooperation
2958,Cooperation
2959,Cooperation
2960,Cooperation
2961,Cooperation
2962,Cooperation
2963,Cooperation
2964,Cooperation
2965,Cooperation
2967,No interaction
2968,No interaction
2969,No interaction
2970,No interaction
2971,No interaction
2972,No interaction
2973,No interaction
2974,No interaction
2975,No interaction
2976,No interaction
2977,No interaction
2978,No interaction
2979,No interaction
2980,No interaction
2981,No interaction
2982,No interaction
2983,No interaction
2984,No interaction
2985,No interaction
2986,No interaction
2987,No interaction
2988,No interaction
2989,No interaction
2990,No interaction
2991,No interaction
2992,No interaction
2993,No interaction
2994,No interaction
2995,No interaction
2996,No interaction
2997,No interaction
2998,No interaction
2999,No interaction
3000,No interaction
3001,No interaction
3002,Cooperation
3003,Cooperation
3004,Cooperation
3005,Cooperation
3006,Cooperation
3007,Cooperation
3008,Cooperation
3009,Cooperation
3010,Cooperation
3011,Cooperation
3012,Cooperation
3013,Cooperation
3014,Cooperation
3015,No interaction
3017,No interaction
3018,No interaction
3019,No interaction
3020,No interaction
3021,No interaction
3022,No interaction
3023,No interaction
3024,No interaction
3025,No interaction
3026,No interaction
3027,No interaction
3028,No interaction
3029,No interaction
3030,No interaction
3031,No interaction
3032,No interaction
3033,No interaction
3034,No interaction
3035,No interaction
3036,No interaction
3037,No interaction
3038,No interaction
3039,No interaction
3040,No interaction
3041,No interaction
3042,No interaction
3043,No interaction
3044,No interaction
3045,No interaction
3046,No interaction
3047,No interaction
3048,No interaction
3049,No interaction
3050,No interaction
3051,No interaction
3052,No interaction
3053,No interaction
3054,No interaction
3055,No interaction
3056,No interaction
3057,No interaction
3058,No interaction
3059,No interaction
3060,No interaction
3061,No interaction
3062,No interaction
3063,No interaction
3064,No interaction
3065,No interaction
3066,No interaction
3067,No interaction
3068,No interaction
3069,No interaction
3070,No interaction
3071,No interaction
3072,No interaction
3073,No interaction
3074,No interaction
3075,No interaction
3076,No interaction
3077,No interaction
3078,No interaction
3079,No interaction
3080,No interaction
3081,No interaction
3082,No interaction
3083,No interaction
3084,No interaction
3085,No interaction
3086,No interaction
3087,No interaction
3088,No interaction
3089,No interaction
3090,No interaction
3091,No interaction
3092,No interaction
3093,No interaction
3094,No interaction
3095,No interaction
3096,No interaction
3097,No interaction
3098,No interaction
3099,No interaction
3100,No interaction
3101,No interaction
3102,No interaction
3103,No interaction
3104,No interaction
